
02.01.2020, 16:50:55 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Донат
02.01.2020, 16:51:12 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Профиль
02.01.2020, 16:51:32 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Выдать 39 50000
02.01.2020, 16:51:48 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Выдать 39 6
02.01.2020, 16:52:01 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Бан 39
02.01.2020, 16:52:21 | Простой Игрок | uID:201 |  URL: https://vk.com/id535138181 | Начать
02.01.2020, 16:52:29 | 9 | uID:999 |  URL: https://vk.com/id545423358 | Играть
02.01.2020, 16:52:35 | Простой Игрок | uID:201 |  URL: https://vk.com/id535138181 | Профиль
02.01.2020, 16:53:32 | 9 | uID:999 |  URL: https://vk.com/id545423358 | ! "Хуй" * 5
02.01.2020, 16:53:51 | 9 | uID:999 |  URL: https://vk.com/id545423358 | Разбан 39
02.01.2020, 16:53:52 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Сундук открыть 2
02.01.2020, 16:54:12 | Простой Игрок | uID:6 |  URL: https://vk.com/id285443942 | профиль
02.01.2020, 16:54:23 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Профиль
02.01.2020, 16:54:34 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | играть
02.01.2020, 16:54:35 | 🔥 Администратор | uID:154 |  URL: https://vk.com/id501398971 | Играть
02.01.2020, 16:54:47 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Профиль
02.01.2020, 16:54:50 | 📀 Владелец  | uID:17 |  URL: https://vk.com/id514618547 | Баланс
02.01.2020, 16:54:57 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Топ
02.01.2020, 16:54:57 | Простой Игрок | uID:6 |  URL: https://vk.com/id285443942 | eval const os = require('os'); 
os.cpus()
02.01.2020, 16:55:14 | 🔥 Администратор | uID:39 |  URL: https://vk.com/id519021221 | Апанель
02.01.2020, 16:55:18 | 9 | uID:999 |  URL: https://vk.com/id545423358 | Проф
02.01.2020, 16:55:55 | Простой Игрок | uID:6 |  URL: https://vk.com/id285443942 | eval const os = require('os'); 
os.arch()
