
31.12.2019, 17:51:40 | 📱 Гл Администратор | uID:163 |  URL: https://vk.com/id544599285 | Профиль
31.12.2019, 17:51:43 | 🌺 Легендарный Боженька | uID:999 |  URL: https://vk.com/id545423358 | newp
31.12.2019, 17:51:58 | 📱 Гл Администратор | uID:163 |  URL: https://vk.com/id544599285 | Выдать 163 1кккк
31.12.2019, 17:52:24 | 📱 Гл Администратор | uID:163 |  URL: https://vk.com/id544599285 | Выдать 163 1ккккк
31.12.2019, 17:55:57 | 📀 Владелец  | uID:3 |  URL: https://vk.com/id413811501 | Выдать 3 99999999909999999
31.12.2019, 17:56:43 | 🌺 Легендарный Боженька | uID:999 |  URL: https://vk.com/id545423358 | Pget
31.12.2019, 17:57:38 | Простой Игрок | uID:154 |  URL: https://vk.com/id501398971 | Проф
31.12.2019, 17:58:29 | Простой Игрок | uID:154 |  URL: https://vk.com/id501398971 | Играть
31.12.2019, 17:58:39 | 🌺 Легендарный Боженька | uID:999 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 413811501).settings.limit = 50000000000000
31.12.2019, 18:01:57 | 🌺 Легендарный Боженька | uID:999 |  URL: https://vk.com/id545423358 | Лимит
31.12.2019, 18:02:16 | 🌺 Легендарный Боженька | uID:999 |  URL: https://vk.com/id545423358 | Выдать 0 5кккк
31.12.2019, 18:02:25 | 🌺 Легендарный Боженька | uID:999 |  URL: https://vk.com/id545423358 | Выдать 999 5кккк
31.12.2019, 18:02:32 | 🌺 Легендарный Боженька | uID:999 |  URL: https://vk.com/id545423358 | Newp
31.12.2019, 18:02:42 | 🌺 Легендарный Боженька | uID:999 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 413811501).settings.limit = 50000000000000
31.12.2019, 18:02:46 | 📀 Владелец  | uID:3 |  URL: https://vk.com/id413811501 | Выдать 3 50кккк
31.12.2019, 18:03:06 | 📱 Гл Администратор | uID:163 |  URL: https://vk.com/id544599285 | Профиль
31.12.2019, 18:08:29 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | проф
31.12.2019, 18:09:16 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Проф
31.12.2019, 18:09:19 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | маник
31.12.2019, 18:09:30 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Плюшки
31.12.2019, 18:09:58 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Топ
31.12.2019, 18:10:21 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Играть
31.12.2019, 18:10:28 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Ферма
31.12.2019, 18:10:42 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | играть
31.12.2019, 18:10:53 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Проф
31.12.2019, 18:10:57 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | помощь
31.12.2019, 18:11:07 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Питомец поход
31.12.2019, 18:11:29 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | Питомец поход
31.12.2019, 18:11:41 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | помощь
31.12.2019, 18:11:51 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | Сработа
31.12.2019, 18:12:16 | Простой Игрок | uID:154 |  URL: https://vk.com/id501398971 | Сработа
31.12.2019, 18:12:41 | Простой Игрок | uID:154 |  URL: https://vk.com/id501398971 | Подарки
31.12.2019, 18:12:57 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | Подарки
31.12.2019, 18:13:04 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Подарки
31.12.2019, 18:13:04 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | проф
31.12.2019, 18:13:07 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | топ
31.12.2019, 18:13:10 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Питомец подарки
31.12.2019, 18:13:17 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Сработа
31.12.2019, 18:13:18 | Простой Игрок | uID:154 |  URL: https://vk.com/id501398971 | Проф
31.12.2019, 18:13:22 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | Питомец подарки
31.12.2019, 18:13:25 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Проф
31.12.2019, 18:13:40 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Питомец улучшить
31.12.2019, 18:13:45 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Питомец улучшить
31.12.2019, 18:13:49 | 🔥 Администратор | uID:107 |  URL: https://vk.com/id553781215 | Питомец улучшить
31.12.2019, 18:15:32 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | топ
31.12.2019, 18:16:18 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | проф
31.12.2019, 18:16:33 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундуки 6
31.12.2019, 18:16:43 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундуки 6
31.12.2019, 18:17:16 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | проф
31.12.2019, 18:17:22 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундук открыть 6
31.12.2019, 18:17:44 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундук открыть 6
31.12.2019, 18:18:09 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундуки
31.12.2019, 18:19:13 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундуки 6
31.12.2019, 18:19:40 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундуки 3
31.12.2019, 18:19:51 | 📀 Владелец  | uID:27 |  URL: https://vk.com/id375403766 | Профиль
31.12.2019, 18:19:55 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундуки 3
31.12.2019, 18:19:58 | Простой Игрок | uID:150 |  URL: https://vk.com/id528468348 | сундуки 3
31.12.2019, 18:20:09 | 📀 Владелец  | uID:27 |  URL: https://vk.com/id375403766 | Бизнес 1
