
21.12.2019, 20:04:37 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Профиль
21.12.2019, 20:04:59 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Машина
21.12.2019, 20:07:09 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Проф
21.12.2019, 20:11:43 | 🛑 Гл Администратор | uID:8 |  URL: https://vk.com/id226269364 | Профиль
21.12.2019, 20:12:04 | 🛑 Гл Администратор | uID:8 |  URL: https://vk.com/id226269364 | Выдать 8 449кккккк
21.12.2019, 20:12:06 | 🛑 Гл Администратор | uID:8 |  URL: https://vk.com/id226269364 | Казино все
21.12.2019, 20:12:58 | 🛑 Гл Администратор | uID:8 |  URL: https://vk.com/id226269364 | Выдать 9 555кккккк
21.12.2019, 20:13:11 | 🛑 Гл Администратор | uID:8 |  URL: https://vk.com/id226269364 | Казино все
21.12.2019, 20:13:15 | 🛑 Гл Администратор | uID:8 |  URL: https://vk.com/id226269364 | Казино все
21.12.2019, 20:46:00 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | 📦 Сундуки
21.12.2019, 21:26:51 | Игрок | uID:42 |  URL: https://vk.com/id524335782 | Профиль
21.12.2019, 21:26:57 | Игрок | uID:42 |  URL: https://vk.com/id524335782 | Топ
21.12.2019, 21:26:58 | 📀 Владелец  | uID:15 |  URL: https://vk.com/id530903911 | Setadm 42 6
21.12.2019, 21:27:22 | 📀 Владелец  | uID:42 |  URL: https://vk.com/id524335782 | Выдать 42 220029239837373636363637367363636
21.12.2019, 21:27:28 | 📀 Владелец  | uID:42 |  URL: https://vk.com/id524335782 | Топ
21.12.2019, 21:27:34 | 📀 Владелец  | uID:42 |  URL: https://vk.com/id524335782 | Рейтинг 23020303003020303939
21.12.2019, 21:27:36 | 📀 Владелец  | uID:42 |  URL: https://vk.com/id524335782 | Топ
21.12.2019, 21:27:54 | 📀 Владелец  | uID:15 |  URL: https://vk.com/id530903911 | Cmd
21.12.2019, 21:28:41 | 📀 Владелец  | uID:42 |  URL: https://vk.com/id524335782 | Топ
21.12.2019, 21:29:24 | 📀 Владелец  | uID:15 |  URL: https://vk.com/id530903911 | Eval message.user.rating=0
21.12.2019, 21:29:27 | 📀 Владелец  | uID:15 |  URL: https://vk.com/id530903911 | Топ
21.12.2019, 21:30:41 | 📀 Владелец  | uID:15 |  URL: https://vk.com/id530903911 | eval users.find(x=> x.id === 473723795).rating = 0
21.12.2019, 21:30:58 | Игрок | uID:40 |  URL: https://vk.com/id473723795 | Топ
21.12.2019, 21:30:59 | 📀 Владелец  | uID:15 |  URL: https://vk.com/id530903911 | eval users.find(x=> x.id === 473723795).balance = 5000
