
15.12.2019, 03:10:12 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Баланс
15.12.2019, 03:10:35 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Сундуки 5
15.12.2019, 03:10:41 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Сундуки 5
15.12.2019, 03:10:47 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Сундуки 5
15.12.2019, 03:14:21 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Профиль
15.12.2019, 03:14:26 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Баланс
15.12.2019, 03:14:32 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Раздать
15.12.2019, 03:14:35 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Баланс
15.12.2019, 03:14:41 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Раздать подарки
15.12.2019, 03:27:20 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Раздать подарки
15.12.2019, 03:42:05 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | 📦 Сундуки
15.12.2019, 03:42:11 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Раздать
15.12.2019, 03:42:17 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Профиль
15.12.2019, 03:42:24 | Игрок | uID:2 |  URL: https://vk.com/id416890694 | Профиль
15.12.2019, 03:42:29 | Игрок | uID:2 |  URL: https://vk.com/id416890694 | Бот
15.12.2019, 03:43:06 | АDMIN | uID:1 |  URL: https://vk.com/id301015165 | Профиль
15.12.2019, 09:07:00 | Игрок | uID:3 |  URL: https://vk.com/id349635934 | Профиль
15.12.2019, 09:11:17 | Игрок | uID:4 |  URL: https://vk.com/id566793757 | Помощь
15.12.2019, 09:11:23 | Игрок | uID:4 |  URL: https://vk.com/id566793757 | Профиль
15.12.2019, 09:53:37 | Игрок | uID:3 |  URL: https://vk.com/id349635934 | Профиль
15.12.2019, 09:53:48 | Игрок | uID:5 |  URL: https://vk.com/id530903911 | Setadm 3 5
15.12.2019, 09:53:54 | 📀 Владелец  | uID:3 |  URL: https://vk.com/id349635934 | Профиль
15.12.2019, 09:54:18 | Игрок | uID:7 |  URL: https://vk.com/id222767200 | Баланс
15.12.2019, 09:54:28 | Игрок | uID:7 |  URL: https://vk.com/id222767200 | Профиль
15.12.2019, 10:36:35 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).timers = true
15.12.2019, 10:37:23 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Баланс
