
15.12.2019, 01:41:04 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).pet = 9
15.12.2019, 01:41:07 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Проф
15.12.2019, 01:41:13 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Питомец поход
15.12.2019, 01:41:32 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Eval message.user
15.12.2019, 01:41:58 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).misc.pet = 9
15.12.2019, 01:42:08 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Проф
15.12.2019, 01:42:23 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Профиль
15.12.2019, 01:42:52 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Продать питомца
15.12.2019, 01:43:01 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Профиль
15.12.2019, 01:43:08 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Питомцы 9
15.12.2019, 01:43:15 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Питомцы
15.12.2019, 01:43:20 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Питомцы 9
15.12.2019, 01:45:04 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Клан атака
15.12.2019, 01:45:14 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Клан создать Хавно
15.12.2019, 01:45:18 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Клан
15.12.2019, 01:45:27 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Клан атака
15.12.2019, 01:46:30 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | Клан войти 1
15.12.2019, 01:46:33 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Eval message.user.misc.pet = 9
15.12.2019, 01:46:45 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Профиль
15.12.2019, 01:51:11 | VIP | uID:5 |  URL: https://vk.com/id301015165 | 🏆 Лучшие кланы
