
14.12.2019, 21:45:04 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Профиль
14.12.2019, 21:46:01 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | setadm 0 4
14.12.2019, 21:46:14 | 🛑 Гл Администратор | uID:1 |  URL: https://vk.com/id530903911 | Setadm 1 4
14.12.2019, 21:46:22 | 🛑 Гл Администратор | uID:1 |  URL: https://vk.com/id530903911 | Профиль
14.12.2019, 21:46:43 | 📀 Владелец  | uID:1 |  URL: https://vk.com/id530903911 | Setadm 1 5
14.12.2019, 21:46:53 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).settings.adm = 5
14.12.2019, 21:47:38 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Ник Волков
14.12.2019, 21:53:56 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Баланс
14.12.2019, 21:58:58 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Cmd
14.12.2019, 21:59:30 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Передать 1 5ккк
14.12.2019, 21:59:54 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Eval message.user.settings.adm = 1
14.12.2019, 22:00:42 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Передать 1 все
14.12.2019, 22:00:42 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Передать 1 5кккккк
14.12.2019, 22:01:20 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Eval message.user.timers = false
14.12.2019, 22:01:45 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).balance = 10000000000000000
14.12.2019, 22:01:55 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Передать 1 все
14.12.2019, 22:02:11 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Лимит 0 500000000099900000000000
14.12.2019, 22:02:23 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Лимит 1 1
14.12.2019, 22:02:29 | Игрок | uID:0 |  URL: https://vk.com/id545423358 | Cmd
