
24.12.2019, 12:38:38 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Autodonateadministrator 0
24.12.2019, 12:39:41 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 6464774
24.12.2019, 12:40:16 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Выдать 0 6ккккккккккк
24.12.2019, 12:40:26 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 6ккк
24.12.2019, 12:40:36 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 6000
24.12.2019, 12:41:48 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | выдать 2 бесконечность
24.12.2019, 12:42:05 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | Фермы 3 600000
24.12.2019, 12:42:12 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | Фермы 3 6000
24.12.2019, 12:42:29 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | выдать 2 60000ккккккккккк
24.12.2019, 12:42:41 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 699999999
24.12.2019, 12:42:48 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | Профиль
24.12.2019, 12:43:05 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | cmd
24.12.2019, 12:43:28 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Поиск https://vk.com/viktor_pan
24.12.2019, 12:43:41 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | лимит 2 10000000000000000000000000000000000000000000000000000
24.12.2019, 12:43:53 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | Передать 0 всё
24.12.2019, 12:43:58 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | Выдать 0 всё
24.12.2019, 12:44:05 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 349635934).farmslimit = 5000
24.12.2019, 12:45:13 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | казино всё
24.12.2019, 12:45:19 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | казино всё
24.12.2019, 12:45:24 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | казино всё
24.12.2019, 12:45:29 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | казино всё
24.12.2019, 12:45:33 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | казино всё
24.12.2019, 12:46:47 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 349635934).farmslimit = 10000
24.12.2019, 12:52:24 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Профиль
24.12.2019, 12:52:26 | Простой Игрок | uID:64 |  URL: https://vk.com/id463791002 | 💽 Ферма
24.12.2019, 12:52:35 | Простой Игрок | uID:64 |  URL: https://vk.com/id463791002 | 👒 Квесты
24.12.2019, 12:52:37 | Простой Игрок | uID:64 |  URL: https://vk.com/id463791002 | 👒 Квесты
24.12.2019, 12:52:38 | Простой Игрок | uID:64 |  URL: https://vk.com/id463791002 | 👒 Квесты
24.12.2019, 12:52:39 | 🔥 Администратор | uID:5 |  URL: https://vk.com/id479928763 | Поиск https://vk.com/id488043538
24.12.2019, 12:58:30 | 🔥 Администратор | uID:5 |  URL: https://vk.com/id479928763 | Профиль
24.12.2019, 12:58:39 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | бан 4
24.12.2019, 12:59:05 | 🔥 Администратор | uID:5 |  URL: https://vk.com/id479928763 | Cmd
24.12.2019, 12:59:11 | 🔥 Администратор | uID:5 |  URL: https://vk.com/id479928763 | Разбан 4
24.12.2019, 12:59:17 | 🔥 Администратор | uID:5 |  URL: https://vk.com/id479928763 | Бан 4
24.12.2019, 12:59:18 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | подарки
24.12.2019, 12:59:25 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | сработать
24.12.2019, 13:00:33 | 🔥 Администратор | uID:5 |  URL: https://vk.com/id479928763 | Сработать
24.12.2019, 13:00:36 | 🔥 Администратор | uID:5 |  URL: https://vk.com/id479928763 | Подарки
24.12.2019, 13:01:15 | 🔥 Администратор | uID:5 |  URL: https://vk.com/id479928763 | 🖨 Маники
24.12.2019, 13:01:18 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Фермы
24.12.2019, 13:01:25 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 5938383838
24.12.2019, 13:01:34 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Профиль
24.12.2019, 13:02:23 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Setadm 5 5
24.12.2019, 13:02:38 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Профиль
24.12.2019, 13:02:55 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | машины
24.12.2019, 13:03:00 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | машины 27
24.12.2019, 13:03:08 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | бан 2
24.12.2019, 13:08:19 | Простой Игрок | uID:19 |  URL: https://vk.com/id222767200 | Подарки
24.12.2019, 13:08:26 | Простой Игрок | uID:19 |  URL: https://vk.com/id222767200 | Сработать
24.12.2019, 14:29:57 | 📱 Гл Администратор | uID:0 |  URL: https://vk.com/id413811501 | топсан
24.12.2019, 14:29:58 | 📱 Гл Администратор | uID:0 |  URL: https://vk.com/id413811501 | проф
24.12.2019, 14:29:58 | 📱 Гл Администратор | uID:0 |  URL: https://vk.com/id413811501 | профиль
24.12.2019, 14:29:59 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Сработать
24.12.2019, 14:30:00 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Подарки
24.12.2019, 14:30:00 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | 💽 Ферма
24.12.2019, 16:02:20 | 📀 Владелец  | uID:42 |  URL: https://vk.com/id524335782 | Баланс
24.12.2019, 16:02:20 | 🌀 Premium-Статус | uID:34 |  URL: https://vk.com/id457536858 | Баланс
24.12.2019, 16:36:34 | Простой Игрок | uID:55 |  URL: https://vk.com/id558577593 | 💽 Ферма
24.12.2019, 16:36:34 | Простой Игрок | uID:55 |  URL: https://vk.com/id558577593 | 💽 Ферма
24.12.2019, 16:36:35 | Простой Игрок | uID:55 |  URL: https://vk.com/id558577593 | ферма
24.12.2019, 16:49:22 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Поиск https://vk.com/id488043538
24.12.2019, 16:50:06 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Cmd
24.12.2019, 16:53:00 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Разбан 298
24.12.2019, 16:53:07 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Разбан 298
24.12.2019, 16:53:55 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Разбан 2
24.12.2019, 16:56:21 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Eval 1
24.12.2019, 16:56:52 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Eval 4*40
24.12.2019, 16:57:02 | 🎅 Санта | uID:15 |  URL: https://vk.com/id530903911 | Eval users.json
24.12.2019, 16:57:09 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | Eval 4*600
24.12.2019, 16:57:37 | 🎅 Санта | uID:15 |  URL: https://vk.com/id530903911 | Eval message.sendDocuments('./users.json')
24.12.2019, 16:58:41 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | бан 298
24.12.2019, 16:58:45 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | бан 2
24.12.2019, 16:59:02 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Бот
24.12.2019, 16:59:07 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Статистика
24.12.2019, 16:59:26 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Разбан 2
24.12.2019, 16:59:31 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | проф
24.12.2019, 16:59:36 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | бан 2156
24.12.2019, 16:59:40 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | бан 132
24.12.2019, 16:59:46 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | Бан Баааааааан
24.12.2019, 17:03:43 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Клан
24.12.2019, 17:03:53 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Клан войти 1
24.12.2019, 17:03:59 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Клан
24.12.2019, 17:04:16 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Клан атака
24.12.2019, 17:04:41 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Клан покинуть
24.12.2019, 17:12:35 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Профиль
24.12.2019, 17:54:20 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Подарки
24.12.2019, 17:54:21 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Сработать
24.12.2019, 17:54:21 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | 💽 Ферма
24.12.2019, 17:54:22 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | 📦 Сундуки
24.12.2019, 17:54:22 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | 🖨 Маники
24.12.2019, 18:06:11 | 🌀 Premium-Статус | uID:34 |  URL: https://vk.com/id457536858 | 👒 Квесты
24.12.2019, 19:03:05 | 🌀 Premium-Статус | uID:34 |  URL: https://vk.com/id457536858 | Баланс
24.12.2019, 19:03:06 | 🌀 Premium-Статус | uID:34 |  URL: https://vk.com/id457536858 | Профиль
24.12.2019, 19:03:06 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | 🖨 Маники
24.12.2019, 19:03:06 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | маник
24.12.2019, 19:03:07 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | профиль
24.12.2019, 19:03:07 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | Профиль
24.12.2019, 19:03:07 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | 📦 Сундуки
24.12.2019, 19:03:21 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | профиль
24.12.2019, 19:11:15 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | помощь
24.12.2019, 19:11:30 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | профиль
24.12.2019, 19:13:45 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | профиль
24.12.2019, 19:14:05 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | донат
24.12.2019, 19:20:39 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | профиль
24.12.2019, 19:20:45 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | помощь
24.12.2019, 19:55:47 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | Профиль
24.12.2019, 19:56:10 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | выдатьсан 1 1
24.12.2019, 19:58:35 | Простой Игрок | uID:65 |  URL: https://vk.com/id503418407 | Профиль
24.12.2019, 19:59:23 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | выдать 65 9000000000000000
24.12.2019, 19:59:36 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Профиль
24.12.2019, 20:00:36 | Простой Игрок | uID:65 |  URL: https://vk.com/id503418407 | ман
24.12.2019, 20:00:54 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | профиль
24.12.2019, 20:02:07 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | Профиль
24.12.2019, 20:02:13 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Eval 01
24.12.2019, 20:02:25 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | Eval 01
24.12.2019, 20:02:35 | Простой Игрок | uID:65 |  URL: https://vk.com/id503418407 | Проф
24.12.2019, 20:02:36 | 📱 Гл Администратор | uID:7 |  URL: https://vk.com/id498232908 | ! 1
24.12.2019, 20:02:41 | Простой Игрок | uID:65 |  URL: https://vk.com/id503418407 | Профиль
24.12.2019, 20:02:48 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Setadm 65 5
24.12.2019, 20:02:55 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Eval 1*5
24.12.2019, 20:03:06 | 🌀 Premium-Статус | uID:1 |  URL: https://vk.com/id518322137 | Профиль
