
28.12.2019, 21:26:31 | 🔥 Администратор | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).ded = 1
28.12.2019, 21:26:35 | 🔥 Администратор | uID:0 |  URL: https://vk.com/id545423358 | Профиль
28.12.2019, 21:27:28 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Играть
28.12.2019, 21:27:38 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Продать рейтинг
28.12.2019, 21:27:45 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Профиль
28.12.2019, 21:27:57 | 🎅 Санта | uID:48 |  URL: https://vk.com/id476055694 | Проф
28.12.2019, 21:28:21 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Игры
28.12.2019, 21:32:44 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Игры
28.12.2019, 21:32:44 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Помощь
28.12.2019, 21:33:03 | 📱 Гл Администратор | uID:5 |  URL: https://vk.com/id479928763 | Беседы
28.12.2019, 21:33:52 | 🎅 Санта | uID:48 |  URL: https://vk.com/id476055694 | 💽 Ферма
28.12.2019, 21:33:55 | 🎅 Санта | uID:48 |  URL: https://vk.com/id476055694 | 📦 Сундуки
28.12.2019, 21:34:45 | 🔥 Администратор | uID:0 |  URL: https://vk.com/id545423358 | Играть
