
25.12.2019, 18:53:51 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Баланс
25.12.2019, 18:54:07 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Подарки
25.12.2019, 18:54:12 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Сработать
25.12.2019, 19:00:46 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Баланс
25.12.2019, 19:28:09 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | казино всё
25.12.2019, 19:28:18 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | казино всё
25.12.2019, 19:28:25 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | казино всё
25.12.2019, 19:28:38 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | казино всё
25.12.2019, 19:28:58 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | казино всё
25.12.2019, 19:29:25 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | выдать 1 90000000000000000000000000000000
25.12.2019, 19:32:47 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Подарки
25.12.2019, 19:32:51 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Подарки
25.12.2019, 19:44:10 | Простой Игрок | uID:19 |  URL: https://vk.com/id222767200 | Подарки
25.12.2019, 19:44:12 | Простой Игрок | uID:19 |  URL: https://vk.com/id222767200 | Сработать
25.12.2019, 19:48:11 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Кик https://vk.com/id413811501
25.12.2019, 21:03:53 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Подарки
25.12.2019, 21:03:55 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Сработать
25.12.2019, 21:03:58 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Топсан
25.12.2019, 21:04:07 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Баланс
25.12.2019, 21:04:14 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Проф
25.12.2019, 21:04:37 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Бизнес улучшить 2
25.12.2019, 21:04:38 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Донат
25.12.2019, 21:04:44 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | Бизнес улучшить 2
25.12.2019, 21:05:10 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Кнопка
25.12.2019, 21:05:15 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | 💽 Ферма
25.12.2019, 21:05:17 | 📱 Гл Администратор | uID:12 |  URL: https://vk.com/id421169574 | 🖨 Маники
25.12.2019, 21:05:33 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Донатик 6
25.12.2019, 21:05:52 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Профиль
25.12.2019, 21:06:17 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Продать фермы 6638440837
25.12.2019, 21:06:35 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | ! for(i=0;i<20000;i++){
){
.test = 0;
}
25.12.2019, 21:06:38 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | подарки
25.12.2019, 21:06:42 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | сработать
25.12.2019, 21:07:19 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).misc.farm = 0
25.12.2019, 21:07:25 | 🌀 Premium-Статус | uID:0 |  URL: https://vk.com/id545423358 | Профиль
25.12.2019, 21:09:22 | 🍎 Яблоко | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).settings.adm = "🍎 Яблоко"
25.12.2019, 21:09:28 | 🍎 Яблоко | uID:0 |  URL: https://vk.com/id545423358 | Профиль
25.12.2019, 21:09:42 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).settings.adm = "8"
25.12.2019, 21:09:53 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Профиль
25.12.2019, 21:10:13 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Выдатьсан 0 1000
25.12.2019, 21:10:18 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Сундуки 6
25.12.2019, 21:10:36 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Открыть 6
