
22.12.2019, 23:07:44 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | баланс
22.12.2019, 23:07:55 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Донат
22.12.2019, 23:08:20 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Донатик 1
22.12.2019, 23:08:30 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Выдатьруб 0 5ккк
22.12.2019, 23:08:39 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | Донатик 1
22.12.2019, 23:08:43 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | Профиль
22.12.2019, 23:08:57 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | Донатик 5
22.12.2019, 23:09:07 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | Профиль
22.12.2019, 23:09:12 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Выдатьруб 0 5ккк
22.12.2019, 23:09:19 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).balance = 0
22.12.2019, 23:09:24 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Выдатьруб 0 5ккк
22.12.2019, 23:09:34 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | Донатик 5
22.12.2019, 23:09:38 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | Баланс
22.12.2019, 23:09:46 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | Донатик 5
22.12.2019, 23:09:48 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Выдатьруб 0 5ккк
22.12.2019, 23:09:50 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | Баланс
22.12.2019, 23:09:56 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Выдатьруб 0 5ккк
22.12.2019, 23:10:06 | 🛑 Гл Администратор | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).rub = 0
22.12.2019, 23:10:10 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Выдатьруб 0 5ккк
22.12.2019, 23:10:19 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).settings.adm = 7
22.12.2019, 23:10:46 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Профиль
22.12.2019, 23:11:06 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Выдатьруб 1 10
22.12.2019, 23:12:38 | Игрок | uID:47 |  URL: https://vk.com/id567412154 | Профиль
22.12.2019, 23:12:58 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Профиль
22.12.2019, 23:13:13 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Плюшки
22.12.2019, 23:13:27 | Игрок | uID:47 |  URL: https://vk.com/id567412154 | Баланс
22.12.2019, 23:16:43 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | Профиль
22.12.2019, 23:17:48 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | 🖨 Маники
22.12.2019, 23:17:54 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | 📦 Сундуки
22.12.2019, 23:18:05 | 🎅 Санта | uID:1 |  URL: https://vk.com/id518322137 | сундуки 6
