
15.12.2019, 00:13:19 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Setwall -187620137_68
15.12.2019, 00:13:33 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Rassilka Акция!!
15.12.2019, 00:32:42 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | Баланс
15.12.2019, 00:32:46 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | Помощь
15.12.2019, 00:32:50 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | Помощь
15.12.2019, 00:32:51 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | Профиль
15.12.2019, 00:32:59 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | 📦 Сундуки
15.12.2019, 00:35:51 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).case1 += 1
15.12.2019, 00:35:56 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Сундуки
15.12.2019, 00:36:00 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).case1 += 1
15.12.2019, 00:36:12 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Сундуки
15.12.2019, 00:38:12 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Поиск https://vk.com/creepysadv
15.12.2019, 00:41:28 | Игрок | uID:7 |  URL: https://vk.com/id479928763 | Профиль
15.12.2019, 00:43:42 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Поиск https://vk.com/iddaniilpetrov98
15.12.2019, 00:44:14 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Setadm 7 4
15.12.2019, 00:47:00 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Поиск https://vk.com/id566793757
15.12.2019, 00:47:24 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Поиск https://vk.com/creepysadv
15.12.2019, 00:47:46 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 479928763).case5 += 1
15.12.2019, 00:48:04 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 301015165).case5 += 1
15.12.2019, 00:50:08 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | Профиль
15.12.2019, 00:50:15 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | 👒 Квесты
