
21.12.2019, 11:14:26 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Профиль
21.12.2019, 11:15:09 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Setadm 0 7
21.12.2019, 11:15:44 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | передать 4 12ккк
21.12.2019, 11:16:02 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | профиль
21.12.2019, 11:17:46 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | ФиксТ
21.12.2019, 11:18:06 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).settings.adm = 7
21.12.2019, 11:18:09 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Профиль
21.12.2019, 11:19:17 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | 📦 Сундуки
21.12.2019, 11:19:21 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | 💽 Ферма
21.12.2019, 11:19:26 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Фермы
21.12.2019, 11:19:36 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 1000
21.12.2019, 11:19:40 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Баланс
21.12.2019, 11:19:46 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | опыт
21.12.2019, 11:19:48 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Выдать 0 5ккккк
21.12.2019, 11:19:54 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | копать алмазы
21.12.2019, 11:19:56 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | копать
21.12.2019, 11:20:00 | Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 1000
21.12.2019, 11:20:06 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | баланс
21.12.2019, 11:20:17 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | казино 4ккк
21.12.2019, 11:20:18 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | казино 4ккк
21.12.2019, 11:20:20 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | казино 4ккк
21.12.2019, 11:20:21 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | казино 4ккк
21.12.2019, 11:20:22 | Игрок | uID:8 |  URL: https://vk.com/id226269364 | казино 4ккк
