
18.12.2019, 22:05:33 | Игрок | uID:14 |  URL: https://vk.com/id557968650 | Проф
18.12.2019, 22:08:18 | 6 | uID:0 |  URL: https://vk.com/id545423358 | Setadm 14 5
18.12.2019, 22:08:32 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | ПРоф
18.12.2019, 22:12:00 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | ник 🔞OпacHocTь📜
18.12.2019, 22:12:57 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | Setadm 1 5
18.12.2019, 22:13:24 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | проф
18.12.2019, 22:13:41 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | выдать 24 8кккк
18.12.2019, 22:13:53 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | Выдать 15 1кккк
18.12.2019, 22:14:05 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | Выдать 14 1кккккккккк
18.12.2019, 22:14:20 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | выдать 14 1кккккк
18.12.2019, 22:14:37 | 6 | uID:Владелец#2 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).uid = 'Владелец#2'
18.12.2019, 22:15:10 | 📀 Владелец  | uID:14 |  URL: https://vk.com/id557968650 | выдать 14 129кккккккккк
18.12.2019, 22:15:20 | 6 | uID:Владелец#2 |  URL: https://vk.com/id545423358 | Проф
18.12.2019, 22:16:05 | 6 | uID:Владелец#2 |  URL: https://vk.com/id545423358 | 📦 Сундуки
18.12.2019, 22:47:37 | 6 | uID:Владелец#2 |  URL: https://vk.com/id545423358 | Раздача1
18.12.2019, 23:06:40 | Игрок | uID:15 |  URL: https://vk.com/id530903911 | ! users.length
19.12.2019, 00:25:04 | 6 | uID:Владелец#2 |  URL: https://vk.com/id545423358 | Setwall -187620137_117
19.12.2019, 00:25:33 | 6 | uID:Владелец#2 |  URL: https://vk.com/id545423358 | Rassilka Ммм😜

Чтобы отписаться от рассылки введите «Рассылка выкл»
