
27.12.2019, 20:36:37 | 🌀 Premium-Статус | uID:76 |  URL: https://vk.com/id566793757 | Профиль
27.12.2019, 20:36:50 | 📀 Владелец  | uID:2 |  URL: https://vk.com/id349635934 | Казино все
27.12.2019, 20:40:11 | 🔥 Администратор | uID:0 |  URL: https://vk.com/id545423358 | 💽 Ферма
27.12.2019, 20:40:17 | 🔥 Администратор | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 5000
27.12.2019, 20:40:53 | 🔥 Администратор | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 545423358).farmslimit = 100000
27.12.2019, 20:41:00 | 🔥 Администратор | uID:0 |  URL: https://vk.com/id545423358 | Фермы 3 100000
27.12.2019, 20:45:02 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Играть
27.12.2019, 20:45:10 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Компьютеры
27.12.2019, 20:45:22 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Компьютер 10
27.12.2019, 20:45:24 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Играть
27.12.2019, 20:45:31 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Профиль
27.12.2019, 20:45:45 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Плюшки
27.12.2019, 20:45:54 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Сработа
27.12.2019, 20:45:56 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Подарки
27.12.2019, 20:46:01 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомец подарки
27.12.2019, 20:46:18 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Профиль
27.12.2019, 20:46:33 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Играть
27.12.2019, 20:46:44 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Cmd
27.12.2019, 20:58:16 | 🔥 Администратор | uID:8 |  URL: https://vk.com/id226269364 | Профиль
27.12.2019, 20:58:29 | 🔥 Администратор | uID:8 |  URL: https://vk.com/id226269364 | Топ
27.12.2019, 21:00:10 | 🔥 Администратор | uID:8 |  URL: https://vk.com/id226269364 | Рейтинг 50
27.12.2019, 21:00:20 | 🔥 Администратор | uID:8 |  URL: https://vk.com/id226269364 | Топ
27.12.2019, 21:00:51 | 🔥 Администратор | uID:8 |  URL: https://vk.com/id226269364 | Рейтинг 1
27.12.2019, 21:03:16 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Играть
27.12.2019, 21:03:28 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Подарки
27.12.2019, 21:03:30 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Сработа
27.12.2019, 21:03:45 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомцы 10
27.12.2019, 21:03:57 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Выдать 27 10кккк
27.12.2019, 21:04:02 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомцы 10
27.12.2019, 21:04:06 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомец
27.12.2019, 21:04:12 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомец подарки
27.12.2019, 21:04:17 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомцы
27.12.2019, 21:10:29 | 📀 Владелец  | uID:3 |  URL: https://vk.com/id413811501 | сработа
27.12.2019, 21:10:31 | 📀 Владелец  | uID:3 |  URL: https://vk.com/id413811501 | подарки
27.12.2019, 21:10:38 | 📀 Владелец  | uID:3 |  URL: https://vk.com/id413811501 | топсан
27.12.2019, 21:14:37 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Подарки
27.12.2019, 21:14:44 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомец подарки
27.12.2019, 21:14:52 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомцы 11
27.12.2019, 21:15:08 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Выдать 27 99ккккк
27.12.2019, 21:15:17 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомцы 10
27.12.2019, 21:15:20 | 🎅 Санта | uID:27 |  URL: https://vk.com/id375403766 | Питомец подарки
27.12.2019, 21:57:57 | Простой Игрок | uID:62 |  URL: https://vk.com/id309260337 | играть
27.12.2019, 22:08:00 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Setwall 0
27.12.2019, 22:08:07 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Rassilka С наступающим вас😃
27.12.2019, 22:08:18 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Профиль
27.12.2019, 22:08:52 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Eval message.user.settings.adm = 7
27.12.2019, 22:08:58 | 📀 Владелец  | uID:6 |  URL: https://vk.com/id285443942 | Профиль
27.12.2019, 22:09:14 | 🌺 Легендарный Боженька | uID:6 |  URL: https://vk.com/id285443942 | Eval message.user.settings.adm = 8
27.12.2019, 22:09:19 | 🌺 Легендарный Боженька | uID:6 |  URL: https://vk.com/id285443942 | Профиль
27.12.2019, 22:09:29 | 🌺 Легендарный Боженька | uID:6 |  URL: https://vk.com/id285443942 | Setwall 0
27.12.2019, 22:09:41 | 🌺 Легендарный Боженька | uID:6 |  URL: https://vk.com/id285443942 | Eval message.user.settings.adm = 8
27.12.2019, 22:09:47 | 9 | uID:6 |  URL: https://vk.com/id285443942 | Eval message.user.settings.adm = 9
