
25.12.2019, 22:30:05 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Питомец поход
25.12.2019, 22:40:28 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | 💽 Ферма
25.12.2019, 22:40:31 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | Помощь
25.12.2019, 22:40:35 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | Профиль
25.12.2019, 22:40:38 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | Топсан
25.12.2019, 22:40:56 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | Подарки
25.12.2019, 22:41:00 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | Ранд
25.12.2019, 22:41:06 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | Подарки
25.12.2019, 22:41:10 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | Профиль
25.12.2019, 22:41:17 | Простой Игрок | uID:18 |  URL: https://vk.com/id205702799 | Помощь
25.12.2019, 22:50:09 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Setadm 18 4
25.12.2019, 22:55:45 | 🔥 Администратор | uID:18 |  URL: https://vk.com/id205702799 | 🖨 Маники
25.12.2019, 22:55:48 | 🔥 Администратор | uID:18 |  URL: https://vk.com/id205702799 | Профиль
25.12.2019, 22:55:54 | 🔥 Администратор | uID:18 |  URL: https://vk.com/id205702799 | Баланс
25.12.2019, 22:56:12 | 🔥 Администратор | uID:18 |  URL: https://vk.com/id205702799 | Выдатьсан 18 5040303
25.12.2019, 22:56:23 | 🔥 Администратор | uID:18 |  URL: https://vk.com/id205702799 | Баланс
25.12.2019, 22:57:39 | 🔥 Администратор | uID:18 |  URL: https://vk.com/id205702799 | Профиль
25.12.2019, 22:57:56 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Pget
25.12.2019, 22:58:36 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 205702799).sun -= 63500
25.12.2019, 22:59:02 | 🌺 Легендарный Боженька | uID:0 |  URL: https://vk.com/id545423358 | Ранд
